	NRxnMetInHMR2	NRxnMetInList	
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c]	15.0000	6.0000	
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[m]	2.0000	1.0000	
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[r]	3.0000	1.0000	
(6Z,9Z)-octadecadienoic acid[c]	13.0000	4.0000	
(6Z,9Z)-octadecadienoic acid[l]	2.0000	0.0000	
(6Z,9Z)-octadecadienoic acid[r]	3.0000	1.0000	
(6Z,9Z)-octadecadienoic acid[s]	5.0000	2.0000	
(6Z,9Z)-octadecadienoylcarnitine[c]	3.0000	2.0000	
(6Z,9Z)-octadecadienoylcarnitine[m]	2.0000	2.0000	
(6Z,9Z)-octadecadienoylcarnitine[r]	2.0000	0.0000	
(6Z,9Z)-octadecadienoyl-CoA[c]	15.0000	6.0000	
(6Z,9Z)-octadecadienoyl-CoA[m]	2.0000	2.0000	
(6Z,9Z)-octadecadienoyl-CoA[r]	3.0000	1.0000	
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[c]	3.0000	3.0000	
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[m]	2.0000	2.0000	
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[r]	2.0000	1.0000	
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c]	15.0000	6.0000	
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[m]	2.0000	2.0000	
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[r]	3.0000	1.0000	
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine[c]	2.0000	2.0000	
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine[r]	2.0000	1.0000	
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[c]	15.0000	5.0000	
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[p]	2.0000	1.0000	
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[r]	3.0000	1.0000	
(6Z,9Z,12Z,15Z,18Z)-TPA[c]	13.0000	4.0000	
(6Z,9Z,12Z,15Z,18Z)-TPA[l]	2.0000	0.0000	
(6Z,9Z,12Z,15Z,18Z)-TPA[r]	3.0000	1.0000	
(6Z,9Z,12Z,15Z,18Z)-TPA[s]	5.0000	2.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine[c]	2.0000	2.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine[r]	2.0000	1.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c]	15.0000	6.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[p]	2.0000	2.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[r]	3.0000	1.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[c]	13.0000	4.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[l]	2.0000	0.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[r]	3.0000	1.0000	
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[s]	5.0000	2.0000	
(7Z)-octadecenoic acid[c]	13.0000	4.0000	
(7Z)-octadecenoic acid[l]	2.0000	0.0000	
(7Z)-octadecenoic acid[r]	2.0000	0.0000	
(7Z)-octadecenoic acid[s]	5.0000	2.0000	
(7Z)-octadecenoyl-CoA[c]	14.0000	5.0000	
(7Z)-octadecenoyl-CoA[m]	2.0000	2.0000	
(7Z)-octadecenoyl-CoA[r]	2.0000	0.0000	
(7Z)-tetradecenoic acid[c]	13.0000	4.0000	
(7Z)-tetradecenoic acid[l]	2.0000	0.0000	
(7Z)-tetradecenoic acid[r]	3.0000	1.0000	
(7Z)-tetradecenoic acid[s]	5.0000	2.0000	
(7Z)-tetradecenoyl-CoA[c]	14.0000	5.0000	
(7Z)-tetradecenoyl-CoA[m]	3.0000	3.0000	
(7Z)-tetradecenoyl-CoA[p]	2.0000	0.0000	
(7Z)-tetradecenoyl-CoA[r]	3.0000	1.0000	
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c]	16.0000	4.0000	
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[m]	2.0000	1.0000	
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[r]	3.0000	1.0000	
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[c]	3.0000	3.0000	
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[m]	2.0000	2.0000	
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[r]	2.0000	1.0000	
