ModelNameMAT	ModelNameXML	PatientIndex	ProbabilityThreshold	RelativeGap	ACC	MCC	FisherExactTestp	RxnAddedForTask...	TimeElapsedINIT	TimeElapsedTINIT
TCGA-CQ-6218-01A-11R-1915-07	TCGA-CQ-6218-01A-11R-1915-07T9900RG5_TINIT.mat	TCGA-CQ-6218-01A-11R-1915-07T9900RG5.xml	176	0.99	0.05	0.945374	0.881723	0	0.219561	25069.93662	2106.295796
TCGA-CV-7104-01A-11R-2016-07	TCGA-CV-7104-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CV-7104-01A-11R-2016-07T9900RG5.xml	209	0.99	0.05	0.9479	0.881652	0	0.266121	25934.46098	2658.01418
TCGA-BG-A2AE-01A-11R-A16F-07	TCGA-BG-A2AE-01A-11R-A16F-07T9900RG5_TINIT.mat	TCGA-BG-A2AE-01A-11R-A16F-07T9900RG5.xml	718	0.99	0.05	0.941269	0.881646	0	0.396329	22785.56885	8805.85502
TCGA-AA-A01F-01A-01R-A002-07	TCGA-AA-A01F-01A-01R-A002-07T9900RG5_TINIT.mat	TCGA-AA-A01F-01A-01R-A002-07T9900RG5.xml	434	0.99	0.05	0.946006	0.881569	0	0.202184	15141.35642	2878.377922
TCGA-60-2726-01A-01R-0851-07	TCGA-60-2726-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-60-2726-01A-01R-0851-07T9900RG5.xml	1040	0.99	0.05	0.941269	0.881492	0	0.286344	22163.21094	2764.377653
TCGA-AA-3972-01A-01R-1022-07	TCGA-AA-3972-01A-01R-1022-07T9900RG5_TINIT.mat	TCGA-AA-3972-01A-01R-1022-07T9900RG5.xml	382	0.99	0.05	0.947269	0.881462	0	0.243112	22975.39567	1194.933818
TCGA-06-0184-01A-01R-1849-01	TCGA-06-0184-01A-01R-1849-01T9900RG5_TINIT.mat	TCGA-06-0184-01A-01R-1849-01T9900RG5.xml	474	0.99	0.05	0.945374	0.881356	0	0.162437	16491.50692	1447.793853
TCGA-AA-A00W-01A-01R-A002-07	TCGA-AA-A00W-01A-01R-A002-07T9900RG5_TINIT.mat	TCGA-AA-A00W-01A-01R-A002-07T9900RG5.xml	448	0.99	0.05	0.947269	0.881197	0	0.346021	24407.18365	1324.009114
TCGA-38-4631-01A-01R-1755-07	TCGA-38-4631-01A-01R-1755-07T9900RG5_TINIT.mat	TCGA-38-4631-01A-01R-1755-07T9900RG5.xml	532	0.99	0.05	0.942532	0.881193	0	0.292642	23445.37732	1113.382667
TCGA-05-4384-01A-01R-1755-07	TCGA-05-4384-01A-01R-1755-07T9900RG5_TINIT.mat	TCGA-05-4384-01A-01R-1755-07T9900RG5.xml	587	0.99	0.05	0.946006	0.881181	0	0.346162	24757.94654	3012.054463
TCGA-D8-A1JF-01A-11R-A13Q-07	TCGA-D8-A1JF-01A-11R-A13Q-07T9900RG5_TINIT.mat	TCGA-D8-A1JF-01A-11R-A13Q-07T9900RG5.xml	307	0.99	0.05	0.939059	0.881027	0	0.302572	20619.72351	2783.583567
TCGA-D1-A17H-01A-11R-A12I-07	TCGA-D1-A17H-01A-11R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A17H-01A-11R-A12I-07T9900RG5.xml	661	0.99	0.05	0.940638	0.881001	0	0.590164	21076.72655	2654.262237
TCGA-E9-A22G-01A-11R-A157-07	TCGA-E9-A22G-01A-11R-A157-07T9900RG5_TINIT.mat	TCGA-E9-A22G-01A-11R-A157-07T9900RG5.xml	254	0.99	0.05	0.939691	0.881	0	0.365749	25832.10865	386.115858
TCGA-CS-4943-01A-01R-1470-07	TCGA-CS-4943-01A-01R-1470-07T9900RG5_TINIT.mat	TCGA-CS-4943-01A-01R-1470-07T9900RG5.xml	764	0.99	0.05	0.944111	0.880492	0	0.248499	21745.49169	1701.259105
TCGA-64-5781-01A-01R-1628-07	TCGA-64-5781-01A-01R-1628-07T9900RG5_TINIT.mat	TCGA-64-5781-01A-01R-1628-07T9900RG5.xml	582	0.99	0.05	0.942532	0.880453	0	0.222402	25056.63358	1323.489105
TCGA-D1-A17U-01A-21R-A12I-07	TCGA-D1-A17U-01A-21R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A17U-01A-21R-A12I-07T9900RG5.xml	637	0.99	0.05	0.942532	0.880452	0	0.301594	20806.57114	3243.525724
TCGA-AN-A0FX-01A-11R-A034-07	TCGA-AN-A0FX-01A-11R-A034-07T9900RG5_TINIT.mat	TCGA-AN-A0FX-01A-11R-A034-07T9900RG5.xml	325	0.99	0.05	0.943164	0.880114	0	0.234592	27578.58999	492.635441
TCGA-18-5595-01A-01R-1635-07	TCGA-18-5595-01A-01R-1635-07T9900RG5_TINIT.mat	TCGA-18-5595-01A-01R-1635-07T9900RG5.xml	975	0.99	0.05	0.939691	0.880035	0	0.280838	20586.21018	2939.08792
TCGA-16-0846-01A-01R-1850-01	TCGA-16-0846-01A-01R-1850-01T9900RG5_TINIT.mat	TCGA-16-0846-01A-01R-1850-01T9900RG5.xml	481	0.99	0.05	0.946321	0.879977	0	0.26904	25936.98744	553.219179
TCGA-AG-4005-01A-01R-1119-07	TCGA-AG-4005-01A-01R-1119-07T9900RG5_TINIT.mat	TCGA-AG-4005-01A-01R-1119-07T9900RG5.xml	360	0.99	0.05	0.947269	0.879729	0	0.224995	24380.21456	728.474872
TCGA-06-2563-01A-01R-1849-01	TCGA-06-2563-01A-01R-1849-01T9900RG5_TINIT.mat	TCGA-06-2563-01A-01R-1849-01T9900RG5.xml	503	0.99	0.05	0.943164	0.879704	0	0.656024	23067.76581	2058.983122
TCGA-05-4396-01A-21R-1858-07	TCGA-05-4396-01A-21R-1858-07T9900RG5_TINIT.mat	TCGA-05-4396-01A-21R-1858-07T9900RG5.xml	604	0.99	0.05	0.942848	0.879597	0	0.28169	22358.26215	1115.671015
TCGA-BS-A0UV-01A-11R-A16W-07	TCGA-BS-A0UV-01A-11R-A16W-07T9900RG5_TINIT.mat	TCGA-BS-A0UV-01A-11R-A16W-07T9900RG5.xml	736	0.99	0.05	0.938743	0.879578	0	0.769231	19480.79707	5300.637957
TCGA-AX-A0J0-01A-11R-A109-07	TCGA-AX-A0J0-01A-11R-A109-07T9900RG5_TINIT.mat	TCGA-AX-A0J0-01A-11R-A109-07T9900RG5.xml	633	0.99	0.05	0.937796	0.879544	0	0.459876	11485.21338	4595.66298
TCGA-CV-7238-01A-11R-2016-07	TCGA-CV-7238-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CV-7238-01A-11R-2016-07T9900RG5.xml	159	0.99	0.05	0.946637	0.879429	0	0.259637	21011.58747	2181.182596
TCGA-CV-5441-01A-01R-1514-07	TCGA-CV-5441-01A-01R-1514-07T9900RG5_TINIT.mat	TCGA-CV-5441-01A-01R-1514-07T9900RG5.xml	71	0.99	0.05	0.943795	0.87938	0	0.27595	24140.40778	2465.983432
TCGA-50-6594-01A-11R-1755-07	TCGA-50-6594-01A-11R-1755-07T9900RG5_TINIT.mat	TCGA-50-6594-01A-11R-1755-07T9900RG5.xml	571	0.99	0.05	0.940006	0.879331	0	0.422128	24764.85268	781.191897
TCGA-AG-4015-01A-01R-1119-07	TCGA-AG-4015-01A-01R-1119-07T9900RG5_TINIT.mat	TCGA-AG-4015-01A-01R-1119-07T9900RG5.xml	356	0.99	0.05	0.945058	0.87931	0	0.33092	23241.55817	2599.333632
TCGA-CR-7399-01A-11R-2016-07	TCGA-CR-7399-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CR-7399-01A-11R-2016-07T9900RG5.xml	35	0.99	0.05	0.941269	0.879302	0	0.231921	22169.08297	2219.942526
TCGA-60-2713-01A-01R-0851-07	TCGA-60-2713-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-60-2713-01A-01R-0851-07T9900RG5.xml	999	0.99	0.05	0.942848	0.879223	0	0.31407	24181.5968	1798.46885
TCGA-AG-3893-01A-01R-1119-07	TCGA-AG-3893-01A-01R-1119-07T9900RG5_TINIT.mat	TCGA-AG-3893-01A-01R-1119-07T9900RG5.xml	350	0.99	0.05	0.948847	0.879215	0	0.248344	23668.65908	1259.636671
TCGA-AA-A01T-01A-21R-A16W-07	TCGA-AA-A01T-01A-21R-A16W-07T9900RG5_TINIT.mat	TCGA-AA-A01T-01A-21R-A16W-07T9900RG5.xml	395	0.99	0.05	0.944111	0.879196	0	0.339487	20269.5698	1486.147084
TCGA-AG-A020-01A-21R-A083-07	TCGA-AG-A020-01A-21R-A083-07T9900RG5_TINIT.mat	TCGA-AG-A020-01A-21R-A083-07T9900RG5.xml	371	0.99	0.05	0.943795	0.87898	0	0.309406	22678.84708	1766.516619
TCGA-A5-A0GB-01A-11R-A040-07	TCGA-A5-A0GB-01A-11R-A040-07T9900RG5_TINIT.mat	TCGA-A5-A0GB-01A-11R-A040-07T9900RG5.xml	675	0.99	0.05	0.938428	0.878978	0	0.650104	20356.96076	4081.468529
TCGA-DU-7010-01A-11R-2027-07	TCGA-DU-7010-01A-11R-2027-07T9900RG5_TINIT.mat	TCGA-DU-7010-01A-11R-2027-07T9900RG5.xml	800	0.99	0.05	0.944743	0.878868	0	0.395998	23779.55014	749.85103
TCGA-41-2572-01A-01R-1850-01	TCGA-41-2572-01A-01R-1850-01T9900RG5_TINIT.mat	TCGA-41-2572-01A-01R-1850-01T9900RG5.xml	482	0.99	0.05	0.946006	0.878772	0	0.266012	24837.26722	854.426168
TCGA-BL-A0C8-01A-11R-A10U-07	TCGA-BL-A0C8-01A-11R-A10U-07T9900RG5_TINIT.mat	TCGA-BL-A0C8-01A-11R-A10U-07T9900RG5.xml	22	0.99	0.05	0.944427	0.878496	0	0.281264	23176.14732	2929.618481
TCGA-CR-6472-01A-11R-1873-07	TCGA-CR-6472-01A-11R-1873-07T9900RG5_TINIT.mat	TCGA-CR-6472-01A-11R-1873-07T9900RG5.xml	62	0.99	0.05	0.938112	0.878487	0	0.251084	28098.51092	610.438958
TCGA-66-2756-01A-01R-0851-07	TCGA-66-2756-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-66-2756-01A-01R-0851-07T9900RG5.xml	1003	0.99	0.05	0.941585	0.878486	0	0.232068	20407.92406	1732.245159
TCGA-76-4925-01A-01R-1850-01	TCGA-76-4925-01A-01R-1850-01T9900RG5_TINIT.mat	TCGA-76-4925-01A-01R-1850-01T9900RG5.xml	508	0.99	0.05	0.941901	0.878479	0	0.704225	22085.63271	2401.988353
TCGA-39-5035-01A-01R-1443-07	TCGA-39-5035-01A-01R-1443-07T9900RG5_TINIT.mat	TCGA-39-5035-01A-01R-1443-07T9900RG5.xml	1063	0.99	0.05	0.939691	0.878317	0	0.304017	28561.48421	1538.388053
TCGA-91-6829-01A-21R-1858-07	TCGA-91-6829-01A-21R-1858-07T9900RG5_TINIT.mat	TCGA-91-6829-01A-21R-1858-07T9900RG5.xml	606	0.99	0.05	0.942217	0.878311	0	0.313545	22131.66486	1554.713815
TCGA-AA-3666-01A-02R-0905-07	TCGA-AA-3666-01A-02R-0905-07T9900RG5_TINIT.mat	TCGA-AA-3666-01A-02R-0905-07T9900RG5.xml	468	0.99	0.05	0.946006	0.878244	0	0.264982	14247.91683	2597.465329
TCGA-25-1623-01A-01R-1566-13	TCGA-25-1623-01A-01R-1566-13T9900RG5_TINIT.mat	TCGA-25-1623-01A-01R-1566-13T9900RG5.xml	820	0.99	0.05	0.940954	0.878235	0	0.236204	25568.02331	2226.996233
TCGA-BH-A0EE-01A-11R-A034-07	TCGA-BH-A0EE-01A-11R-A034-07T9900RG5_TINIT.mat	TCGA-BH-A0EE-01A-11R-A034-07T9900RG5.xml	242	0.99	0.05	0.940006	0.878109	0	0.419426	21374.15308	1727.077844
TCGA-BG-A0VW-01A-11R-A118-07	TCGA-BG-A0VW-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-BG-A0VW-01A-11R-A118-07T9900RG5.xml	742	0.99	0.05	0.938743	0.878021	0	0.727353	26935.41171	1830.634802
TCGA-66-2755-01A-01R-0851-07	TCGA-66-2755-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-66-2755-01A-01R-0851-07T9900RG5.xml	1016	0.99	0.05	0.942217	0.877991	0	0.338409	21790.09099	4563.704656
TCGA-AR-A0TV-01A-21R-A084-07	TCGA-AR-A0TV-01A-21R-A084-07T9900RG5_TINIT.mat	TCGA-AR-A0TV-01A-21R-A084-07T9900RG5.xml	303	0.99	0.05	0.937796	0.877979	0	0.630435	22401.08686	1915.612904
TCGA-A1-A0SP-01A-11R-A084-07	TCGA-A1-A0SP-01A-11R-A084-07T9900RG5_TINIT.mat	TCGA-A1-A0SP-01A-11R-A084-07T9900RG5.xml	302	0.99	0.05	0.940954	0.877954	0	0.408534	13212.92181	3941.472525
TCGA-02-2485-01A-01R-1849-01	TCGA-02-2485-01A-01R-1849-01T9900RG5_TINIT.mat	TCGA-02-2485-01A-01R-1849-01T9900RG5.xml	500	0.99	0.05	0.942532	0.877892	0	0.292337	25573.02032	438.346873
TCGA-66-2788-01A-01R-0980-07	TCGA-66-2788-01A-01R-0980-07T9900RG5_TINIT.mat	TCGA-66-2788-01A-01R-0980-07T9900RG5.xml	991	0.99	0.05	0.942217	0.877786	0	0.249325	26974.85726	722.380021
TCGA-64-5779-01A-01R-1628-07	TCGA-64-5779-01A-01R-1628-07T9900RG5_TINIT.mat	TCGA-64-5779-01A-01R-1628-07T9900RG5.xml	535	0.99	0.05	0.942848	0.877718	0	0.275074	23418.59084	1085.299794
TCGA-64-1678-01A-01R-0946-07	TCGA-64-1678-01A-01R-0946-07T9900RG5_TINIT.mat	TCGA-64-1678-01A-01R-0946-07T9900RG5.xml	560	0.99	0.05	0.939691	0.877656	0	0.415846	19124.89028	3516.148488
TCGA-AA-3531-01A-01R-0821-07	TCGA-AA-3531-01A-01R-0821-07T9900RG5_TINIT.mat	TCGA-AA-3531-01A-01R-0821-07T9900RG5.xml	433	0.99	0.05	0.94569	0.877655	0	0.230898	25656.38576	521.319747
TCGA-AA-A00J-01A-02R-A002-07	TCGA-AA-A00J-01A-02R-A002-07T9900RG5_TINIT.mat	TCGA-AA-A00J-01A-02R-A002-07T9900RG5.xml	409	0.99	0.05	0.945374	0.877655	0	0.210482	25903.82431	1547.828786
TCGA-05-4432-01A-01R-1206-07	TCGA-05-4432-01A-01R-1206-07T9900RG5_TINIT.mat	TCGA-05-4432-01A-01R-1206-07T9900RG5.xml	558	0.99	0.05	0.943795	0.877545	0	0.253004	24567.36958	2176.527891
TCGA-B6-A0RI-01A-11R-A056-07	TCGA-B6-A0RI-01A-11R-A056-07T9900RG5_TINIT.mat	TCGA-B6-A0RI-01A-11R-A056-07T9900RG5.xml	285	0.99	0.05	0.94348	0.877445	0	0.232509	24164.06864	1630.608667
TCGA-CV-7248-01A-11R-2016-07	TCGA-CV-7248-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CV-7248-01A-11R-2016-07T9900RG5.xml	117	0.99	0.05	0.945058	0.877266	0	0.222898	27739.84402	845.657702
TCGA-66-2777-01A-01R-1201-07	TCGA-66-2777-01A-01R-1201-07T9900RG5_TINIT.mat	TCGA-66-2777-01A-01R-1201-07T9900RG5.xml	1054	0.99	0.05	0.94569	0.877246	0	0.390786	26590.16532	2471.276024
TCGA-CV-6961-01A-21R-1915-07	TCGA-CV-6961-01A-21R-1915-07T9900RG5_TINIT.mat	TCGA-CV-6961-01A-21R-1915-07T9900RG5.xml	120	0.99	0.05	0.949479	0.877212	0	0.156648	26638.81836	732.217863
TCGA-CV-6954-01A-11R-1915-07	TCGA-CV-6954-01A-11R-1915-07T9900RG5_TINIT.mat	TCGA-CV-6954-01A-11R-1915-07T9900RG5.xml	154	0.99	0.05	0.942217	0.877155	0	0.331675	26519.12069	1508.696804
TCGA-05-4410-01A-21R-1858-07	TCGA-05-4410-01A-21R-1858-07T9900RG5_TINIT.mat	TCGA-05-4410-01A-21R-1858-07T9900RG5.xml	581	0.99	0.05	0.943164	0.876899	0	0.265631	23385.10775	1896.421374
TCGA-CN-4739-01A-02R-1514-07	TCGA-CN-4739-01A-02R-1514-07T9900RG5_TINIT.mat	TCGA-CN-4739-01A-02R-1514-07T9900RG5.xml	219	0.99	0.05	0.941269	0.876847	0	0.347599	27126.87436	2093.209053
TCGA-C4-A0F7-01A-11R-A084-07	TCGA-C4-A0F7-01A-11R-A084-07T9900RG5_TINIT.mat	TCGA-C4-A0F7-01A-11R-A084-07T9900RG5.xml	12	0.99	0.05	0.94348	0.876752	0	0.187813	25714.03983	1364.198617
TCGA-22-5477-01A-01R-1635-07	TCGA-22-5477-01A-01R-1635-07T9900RG5_TINIT.mat	TCGA-22-5477-01A-01R-1635-07T9900RG5.xml	1065	0.99	0.05	0.941585	0.876701	0	0.31559	24411.51071	2552.009544
TCGA-A5-A0R6-01A-11R-A104-07	TCGA-A5-A0R6-01A-11R-A104-07T9900RG5_TINIT.mat	TCGA-A5-A0R6-01A-11R-A104-07T9900RG5.xml	660	0.99	0.05	0.936533	0.876487	0	0.584401	22415.80673	3541.650992
TCGA-AG-A02N-01A-11R-A083-07	TCGA-AG-A02N-01A-11R-A083-07T9900RG5_TINIT.mat	TCGA-AG-A02N-01A-11R-A083-07T9900RG5.xml	344	0.99	0.05	0.945374	0.876462	0	0.221506	13124.74861	2962.155297
TCGA-66-2786-01A-01R-0851-07	TCGA-66-2786-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-66-2786-01A-01R-0851-07T9900RG5.xml	1043	0.99	0.05	0.944111	0.876396	0	0.290216	30059.61873	894.357233
TCGA-25-2391-01A-01R-1569-13	TCGA-25-2391-01A-01R-1569-13T9900RG5_TINIT.mat	TCGA-25-2391-01A-01R-1569-13T9900RG5.xml	815	0.99	0.05	0.941269	0.876348	0	0.297429	25428.14169	1804.992161
TCGA-BG-A0RY-01A-11R-A104-07	TCGA-BG-A0RY-01A-11R-A104-07T9900RG5_TINIT.mat	TCGA-BG-A0RY-01A-11R-A104-07T9900RG5.xml	652	0.99	0.05	0.936849	0.876278	0	0.382108	12603.84114	5413.088248
TCGA-CN-4742-01A-02R-1514-07	TCGA-CN-4742-01A-02R-1514-07T9900RG5_TINIT.mat	TCGA-CN-4742-01A-02R-1514-07T9900RG5.xml	114	0.99	0.05	0.94348	0.876219	0	0.250994	25219.28814	1237.987499
TCGA-06-2570-01A-01R-1849-01	TCGA-06-2570-01A-01R-1849-01T9900RG5_TINIT.mat	TCGA-06-2570-01A-01R-1849-01T9900RG5.xml	509	0.99	0.05	0.940954	0.876198	0	0.210393	16574.55296	2345.867071
TCGA-CV-5966-01A-11R-1686-07	TCGA-CV-5966-01A-11R-1686-07T9900RG5_TINIT.mat	TCGA-CV-5966-01A-11R-1686-07T9900RG5.xml	56	0.99	0.05	0.939691	0.875938	0	0.226571	25041.66638	1800.76885
TCGA-D1-A0ZO-01A-11R-A118-07	TCGA-D1-A0ZO-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-D1-A0ZO-01A-11R-A118-07T9900RG5.xml	649	0.99	0.05	0.938428	0.875879	0	0.449944	17988.86557	2331.575712
TCGA-06-5858-01A-01R-1849-01	TCGA-06-5858-01A-01R-1849-01T9900RG5_TINIT.mat	TCGA-06-5858-01A-01R-1849-01T9900RG5.xml	489	0.99	0.05	0.941585	0.875871	0	0.254831	24048.42559	1027.50428
TCGA-AG-4007-01A-01R-1119-07	TCGA-AG-4007-01A-01R-1119-07T9900RG5_TINIT.mat	TCGA-AG-4007-01A-01R-1119-07T9900RG5.xml	348	0.99	0.05	0.944427	0.875721	0	0.26727	15922.98646	3810.11348
TCGA-44-4112-01A-01R-1107-07	TCGA-44-4112-01A-01R-1107-07T9900RG5_TINIT.mat	TCGA-44-4112-01A-01R-1107-07T9900RG5.xml	534	0.99	0.05	0.941585	0.875711	0	0.304017	22856.90453	1529.042557
TCGA-CV-7409-01A-31R-2232-07	TCGA-CV-7409-01A-31R-2232-07T9900RG5_TINIT.mat	TCGA-CV-7409-01A-31R-2232-07T9900RG5.xml	194	0.99	0.05	0.94348	0.875639	0	0.287062	24756.65995	2972.306729
TCGA-38-4625-01A-01R-1206-07	TCGA-38-4625-01A-01R-1206-07T9900RG5_TINIT.mat	TCGA-38-4625-01A-01R-1206-07T9900RG5.xml	611	0.99	0.05	0.942848	0.875633	0	0.357669	25275.83135	969.844943
TCGA-AA-3560-01A-01R-0821-07	TCGA-AA-3560-01A-01R-0821-07T9900RG5_TINIT.mat	TCGA-AA-3560-01A-01R-0821-07T9900RG5.xml	429	0.99	0.05	0.943795	0.875547	0	0.79918	24584.32506	4215.945542
TCGA-66-2768-01A-01R-0851-07	TCGA-66-2768-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-66-2768-01A-01R-0851-07T9900RG5.xml	976	0.99	0.05	0.943795	0.875511	0	0.246609	24469.70222	1618.502277
TCGA-CV-5436-01A-01R-1514-07	TCGA-CV-5436-01A-01R-1514-07T9900RG5_TINIT.mat	TCGA-CV-5436-01A-01R-1514-07T9900RG5.xml	163	0.99	0.05	0.940322	0.875463	0	0.258065	23810.2704	1950.934598
TCGA-50-5066-01A-01R-1628-07	TCGA-50-5066-01A-01R-1628-07T9900RG5_TINIT.mat	TCGA-50-5066-01A-01R-1628-07T9900RG5.xml	579	0.99	0.05	0.940322	0.875353	0	0.347599	25403.10933	1917.120179
TCGA-CN-4727-01A-01R-1436-07	TCGA-CN-4727-01A-01R-1436-07T9900RG5_TINIT.mat	TCGA-CN-4727-01A-01R-1436-07T9900RG5.xml	43	0.99	0.05	0.939375	0.875255	0	0.31263	27590.49839	3036.00487
TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0CS-01A-11R-A115-07T9900RG5_TINIT.mat	TCGA-A2-A0CS-01A-11R-A115-07T9900RG5.xml	287	0.99	0.05	0.940638	0.875195	0	0.297682	26784.71956	983.593432
TCGA-AA-3833-01A-01R-0905-07	TCGA-AA-3833-01A-01R-0905-07T9900RG5_TINIT.mat	TCGA-AA-3833-01A-01R-0905-07T9900RG5.xml	422	0.99	0.05	0.94569	0.875096	0	0.226477	25302.13979	1890.511168
TCGA-CV-6956-01A-21R-2016-07	TCGA-CV-6956-01A-21R-2016-07T9900RG5_TINIT.mat	TCGA-CV-6956-01A-21R-2016-07T9900RG5.xml	108	0.99	0.05	0.940006	0.87501	0	0.310559	11565.06929	2969.410579
TCGA-BP-5180-01A-01R-1426-07	TCGA-BP-5180-01A-01R-1426-07T9900RG5_TINIT.mat	TCGA-BP-5180-01A-01R-1426-07T9900RG5.xml	827	0.99	0.05	0.949163	0.874987	0	0.176609	30405.20273	1404.174932
TCGA-B6-A0RG-01A-11R-A056-07	TCGA-B6-A0RG-01A-11R-A056-07T9900RG5_TINIT.mat	TCGA-B6-A0RG-01A-11R-A056-07T9900RG5.xml	253	0.99	0.05	0.939691	0.874969	0	0.338295	20125.02628	1473.467642
TCGA-50-6595-01A-12R-1858-07	TCGA-50-6595-01A-12R-1858-07T9900RG5_TINIT.mat	TCGA-50-6595-01A-12R-1858-07T9900RG5.xml	544	0.99	0.05	0.941901	0.874955	0	0.438963	17074.99757	3946.658956
TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6936-01A-11R-1915-07T9900RG5_TINIT.mat	TCGA-CV-6936-01A-11R-1915-07T9900RG5.xml	210	0.99	0.05	0.941585	0.874815	0	0.317931	22981.84615	2489.560071
TCGA-AA-3542-01A-02R-1873-07	TCGA-AA-3542-01A-02R-1873-07T9900RG5_TINIT.mat	TCGA-AA-3542-01A-02R-1873-07T9900RG5.xml	440	0.99	0.05	0.942217	0.874751	0	0.250731	24321.62718	1174.954311
TCGA-33-6737-01A-11R-1820-07	TCGA-33-6737-01A-11R-1820-07T9900RG5_TINIT.mat	TCGA-33-6737-01A-11R-1820-07T9900RG5.xml	1080	0.99	0.05	0.939059	0.874655	0	0.24727	17870.88173	845.25432
TCGA-EY-A212-01A-11R-A14M-07	TCGA-EY-A212-01A-11R-A14M-07T9900RG5_TINIT.mat	TCGA-EY-A212-01A-11R-A14M-07T9900RG5.xml	714	0.99	0.05	0.935901	0.874617	0	0.570676	26530.84106	3543.710779
TCGA-22-5489-01A-01R-1635-07	TCGA-22-5489-01A-01R-1635-07T9900RG5_TINIT.mat	TCGA-22-5489-01A-01R-1635-07T9900RG5.xml	1062	0.99	0.05	0.938428	0.874596	0	0.25729	24725.95058	3718.551994
TCGA-CQ-5331-01A-02R-1873-07	TCGA-CQ-5331-01A-02R-1873-07T9900RG5_TINIT.mat	TCGA-CQ-5331-01A-02R-1873-07T9900RG5.xml	121	0.99	0.05	0.939059	0.874593	0	0.314861	25013.43716	1346.807209
TCGA-AG-A008-01A-01R-A002-07	TCGA-AG-A008-01A-01R-A002-07T9900RG5_TINIT.mat	TCGA-AG-A008-01A-01R-A002-07T9900RG5.xml	354	0.99	0.05	0.94348	0.874592	0	0.249584	20652.03187	1785.34425
TCGA-05-4426-01A-01R-1206-07	TCGA-05-4426-01A-01R-1206-07T9900RG5_TINIT.mat	TCGA-05-4426-01A-01R-1206-07T9900RG5.xml	590	0.99	0.05	0.940006	0.874559	0	0.748569	25556.04018	1315.062897
TCGA-DI-A0WH-01A-12R-A12I-07	TCGA-DI-A0WH-01A-12R-A12I-07T9900RG5_TINIT.mat	TCGA-DI-A0WH-01A-12R-A12I-07T9900RG5.xml	756	0.99	0.05	0.936217	0.87449	0	0.608899	19381.17785	2207.96339
TCGA-CV-5973-01A-11R-1686-07	TCGA-CV-5973-01A-11R-1686-07T9900RG5_TINIT.mat	TCGA-CV-5973-01A-11R-1686-07T9900RG5.xml	36	0.99	0.05	0.939059	0.874429	0	0.255809	27385.37583	1425.875055
TCGA-A2-A0EQ-01A-11R-A034-07	TCGA-A2-A0EQ-01A-11R-A034-07T9900RG5_TINIT.mat	TCGA-A2-A0EQ-01A-11R-A034-07T9900RG5.xml	327	0.99	0.05	0.938112	0.874413	0	0.6946	22372.18897	4034.87516
TCGA-44-3918-01A-01R-1107-07	TCGA-44-3918-01A-01R-1107-07T9900RG5_TINIT.mat	TCGA-44-3918-01A-01R-1107-07T9900RG5.xml	565	0.99	0.05	0.942848	0.87436	0	0.295296	22172.08873	2835.526377
TCGA-AA-A017-01A-01R-A00A-07	TCGA-AA-A017-01A-01R-A00A-07T9900RG5_TINIT.mat	TCGA-AA-A017-01A-01R-A00A-07T9900RG5.xml	455	0.99	0.05	0.942848	0.874338	0	0.286709	23814.2475	1387.823624
TCGA-66-2734-01A-01R-0980-07	TCGA-66-2734-01A-01R-0980-07T9900RG5_TINIT.mat	TCGA-66-2734-01A-01R-0980-07T9900RG5.xml	1072	0.99	0.05	0.941269	0.874304	0	0.30303	28335.76736	1145.206209
TCGA-BG-A0M3-01A-11R-A104-07	TCGA-BG-A0M3-01A-11R-A104-07T9900RG5_TINIT.mat	TCGA-BG-A0M3-01A-11R-A104-07T9900RG5.xml	665	0.99	0.05	0.936217	0.874286	0	0.374862	19686.89565	2662.281269
TCGA-BH-A1F8-01A-11R-A13Q-07	TCGA-BH-A1F8-01A-11R-A13Q-07T9900RG5_TINIT.mat	TCGA-BH-A1F8-01A-11R-A13Q-07T9900RG5.xml	238	0.99	0.05	0.939059	0.874273	0	0.302834	24978.70228	275.670149
TCGA-E1-5303-01A-01R-1470-07	TCGA-E1-5303-01A-01R-1470-07T9900RG5_TINIT.mat	TCGA-E1-5303-01A-01R-1470-07T9900RG5.xml	778	0.99	0.05	0.942532	0.874239	0	0.273973	24175.40765	1929.927634
TCGA-66-2759-01A-01R-0851-07	TCGA-66-2759-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-66-2759-01A-01R-0851-07T9900RG5.xml	962	0.99	0.05	0.939059	0.874214	0	0.297809	23435.25507	2243.385614
